relative_path,parent_directory,name,suffix,size_bytes,sha256,is_text,detected_encoding,printable_ratio,line_count,categories,uft_markers,object_reference_markers,parameter_markers,control_flow_markers,function_or_sub_markers,error
ProjRep/000/000/000/001/600,ProjRep/000/000/000/001,600,,268386,099c70de72351f3ae1545adeb33e8950ee3e1714c4d4864d746820caafd22448,False,,,,binary,,,,,,
ProjRep/000/000/000/001/601,ProjRep/000/000/000/001,601,,1951,7a03e9f056cf5e4bf309ee3b6c84060c20003b82573155729f8dbc145387811a,True,utf-8-sig,1.0000,46,text; xml_candidate,,,,,,
ProjRep/000/000/000/001/602,ProjRep/000/000/000/001,602,,63517,254bb4e78b163bdea0846d2180ae2e4236516aa36c14f6121c63b99f23bd32af,False,,,,binary,,,,,,
ProjRep/000/000/000/001/603,ProjRep/000/000/000/001,603,,20992,21403754aa1cebcf76362d0e1f0e2541f1af035ade6e38a079b881fa246c7a9f,False,,,,binary,,,,,,
ProjRep/000/000/000/001/604,ProjRep/000/000/000/001,604,,299516,a32e408ecbce9dd22342c4f9a4b030a144fadb5718d4359fe8d61d3d3dbaa861,False,,,,binary,,,,,,
ProjRep/000/000/000/001/605,ProjRep/000/000/000/001,605,,1981,61391cc8e90c5c79ec205acdccc511c402814e2db1f562297e4e59a0ac1691c3,True,utf-8-sig,1.0000,46,text; contains_control_flow; xml_candidate,,,,For ,,
ProjRep/000/000/000/001/606,ProjRep/000/000/000/001,606,,714,3394369d26536368787867f9f8624d02ed60e6d8df0114a2581a8f4a13b1ca72,True,utf-8-sig,1.0000,61,text,,,,,,
ProjRep/000/000/000/001/607,ProjRep/000/000/000/001,607,,1112,58c3243b104d5c9db6577c16f2b2d7eba6acfe0e95f1691190c79910b52a2469,True,utf-8-sig,1.0000,71,text,,,,,,
ProjRep/000/000/000/001/608,ProjRep/000/000/000/001,608,,1384,f211f8b7beb48c9d60325e41df053249f86fd2d0dd94dd1763355124355cd332,False,,,,binary,,,,,,
ProjRep/000/000/000/001/609,ProjRep/000/000/000/001,609,,413,9b43d98e494fe219a6646f1c3a6bc3c43213396d96e3720a59a9d3b412bf2363,True,utf-8-sig,1.0000,7,text; xml_candidate,,,,,,
ProjRep/000/000/000/001/610,ProjRep/000/000/000/001,610,,674,1bc5c4b24ebb1ea56b210e9568adca82c2d9bed42366a2d67f04a34fd74976cd,True,utf-8-sig,1.0000,31,text; contains_control_flow,,,,If ,,
ProjRep/000/000/000/001/613,ProjRep/000/000/000/001,613,,17788,b34aa2e1b2941eac4c25e7fd92b622d97c081f93aed944d0a8247d29c29928bd,True,utf-8-sig,1.0000,379,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit; Reporter.ReportEvent,,,If ; Then; Else; End If; For ; Do ,Function ; End Function,
ProjRep/000/000/000/001/614,ProjRep/000/000/000/001,614,,196608,be55eafed796ea8e03bce8e01f68b1f0a549eba183063198ead5cb5c99dc5d39,False,,,,binary,,,,,,
ProjRep/000/000/000/001/615,ProjRep/000/000/000/001,615,,20480,a20e0faeffff5a3b259d592a58211589662aadb941bb64f274c03d45bf3e5190,False,,,,binary,,,,,,
ProjRep/000/000/000/001/616,ProjRep/000/000/000/001,616,,77312,3c2254d8dd3dd1e6a26c203a6c89c72eece8f7901272e86b7366880ce089671d,False,,,,binary,,,,,,
ProjRep/000/000/000/001/617,ProjRep/000/000/000/001,617,,8884,569557631738d01f58e087db5dfef444cca5133ab840ac1f73e5e9391953af87,True,utf-8-sig,1.0000,212,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit,,,If ; Then; Else; End If; For ; Next; Do ; Select Case; End Select,Function ; End Function; Sub ; End Sub,
ProjRep/000/000/000/001/618,ProjRep/000/000/000/001,618,,9239,29118d75d5359daab8957e2ebe438754f860c0fda26534ac5acd0f0f1ce597ff,True,utf-8-sig,1.0000,232,text; xml_candidate,,,,,,
ProjRep/000/000/000/001/619,ProjRep/000/000/000/001,619,,81434,75e5a0bec39f1b5bb580845c3a5b57ececd457462d5592ee5806f7f2f5e39b9c,False,,,,binary,,,,,,
ProjRep/000/000/000/001/620,ProjRep/000/000/000/001,620,,20992,5531a2ff48ad83da0f84980380b57d0caf9a001b3ed91e220333c4201cdc023b,False,,,,binary,,,,,,
ProjRep/000/000/000/001/621,ProjRep/000/000/000/001,621,,319192,352823d4a37f6a8562833b1017cc2784bc3a66a3aacb6231d45d2b5c9649f4c7,False,,,,binary,,,,,,
ProjRep/000/000/000/001/622,ProjRep/000/000/000/001,622,,1951,b193ef393707030d90296b329048d5e0bb48f3dc0f505d12fd84ff0de35564ae,True,utf-8-sig,1.0000,46,text; xml_candidate,,,,,,
ProjRep/000/000/000/001/623,ProjRep/000/000/000/001,623,,81947,6df207ccecc32342934ab34b26e4835828f92c738ec2003520b3711b7e825e34,False,,,,binary,,,,,,
ProjRep/000/000/000/001/624,ProjRep/000/000/000/001,624,,22528,109c3b0b4dc43d6f5785adefa830c821d88bc3f30ac9ed030f3560242a2d3b78,False,,,,binary,,,,,,
ProjRep/000/000/000/001/625,ProjRep/000/000/000/001,625,,365482,79eb5f1e614da5b3cd8a820a7e0e1778f25615a4e63949ccbd5850b4e1695667,False,,,,binary,,,,,,
ProjRep/000/000/000/001/626,ProjRep/000/000/000/001,626,,1982,74855ba2a5fe198b395d33a2c99a8e203205a1923b0d475bd5c53fb4e2c20926,True,utf-8-sig,1.0000,46,text; contains_control_flow; xml_candidate,,,,For ,,
ProjRep/000/000/000/001/627,ProjRep/000/000/000/001,627,,10752,3cf4ad0b1a5df6ddfbb1b1eec28d39ebd596f026217e4fc8adf2c10068b9b467,False,,,,binary,,,,,,
ProjRep/000/000/000/001/628,ProjRep/000/000/000/001,628,,17739,5490215e2b2fdf6ee1ba08fabe45b108199b34760dc24ac72f45c7571ccfe7bc,True,utf-8-sig,1.0000,379,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit; Reporter.ReportEvent,,,If ; Then; Else; End If; For ; Do ,Function ; End Function,
ProjRep/000/000/000/001/629,ProjRep/000/000/000/001,629,,409600,0700a05265e403f0366c788b0f9c99506c7786a6fb68222ad86f6010d945d31b,False,,,,binary,,,,,,
ProjRep/000/000/000/001/630,ProjRep/000/000/000/001,630,,5486,4f87af17f70b8d6936cfaaa07eb15cd5fe1caa77a9a1bbfd31ce260948262fa4,True,utf-8-sig,1.0000,94,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit,,,Then; For ; Do ,Function ,
ProjRep/000/000/000/001/631,ProjRep/000/000/000/001,631,,22090,66da3a111610793d64e5455fecfe62cd198028ea716badba3e9987becd68b466,True,utf-8-sig,1.0000,433,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit; Reporter.ReportEvent,,,If ; Then; Else; End If; For ; Do ,Function ; End Function,
ProjRep/000/000/000/001/632,ProjRep/000/000/000/001,632,,22085,1f7be36782e7f231e93ff96953d51bbf338c5d1752b7872c0c8b3649484e11b1,True,utf-8-sig,1.0000,433,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit; Reporter.ReportEvent,,,If ; Then; Else; End If; For ; Do ,Function ; End Function,
ProjRep/000/000/000/001/633,ProjRep/000/000/000/001,633,,799,aa027a67dd376a3c0d032de50e4ae90cd242d698bb2927e2db3d5051f336cfaf,True,utf-8-sig,1.0000,24,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit,,,Then; Do ,Function ; End Function,
ProjRep/000/000/000/001/634,ProjRep/000/000/000/001,634,,6565,dac2827522e9767454fd03fb773b4d87491822ded61dc15c56053349b83f24c3,True,utf-8-sig,1.0000,119,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit,,,Then; For ; Do ,Function ; End Function,
ProjRep/000/000/000/001/635,ProjRep/000/000/000/001,635,,10280,96139f4d538b9e681ff41af17bddc97c881f216f1ac41c429438b16e25a79722,True,utf-8-sig,1.0000,182,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit,,,If ; Then; For ; Do ,Function ; End Function,
ProjRep/000/000/000/001/636,ProjRep/000/000/000/001,636,,3782,a12d8ba248e413a6ef9d114c15116c8467f1c1bb6a0430224f86f2e5e3f137a2,True,utf-8-sig,1.0000,67,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit,,,Then; For ; Do ,Function ,
ProjRep/000/000/000/001/637,ProjRep/000/000/000/001,637,,245760,292235366a6dc299970995c016e31c0397a985f40c9b3cf6bf33e793ec045c06,False,,,,binary,,,,,,
ProjRep/000/000/000/001/638,ProjRep/000/000/000/001,638,,10752,66931e35bdd03069f9bc9b49feed343b2962034586557b63edf143837875ce6f,False,,,,binary,,,,,,
ProjRep/000/000/000/001/639,ProjRep/000/000/000/001,639,,245760,02fc4d36d94236e028540ddea597ef183e5682a0380caddf78a8af29bd91dced,False,,,,binary,,,,,,
ProjRep/000/000/000/001/640,ProjRep/000/000/000/001,640,,245760,de18f11277adc2e7a4f4a74abe30c65efc03fdb742eb018d8aa468af575aac36,False,,,,binary,,,,,,
ProjRep/000/000/000/001/641,ProjRep/000/000/000/001,641,,10752,368e15a9ead04d38f7cbf9577ecd3e207b9d5e8a7a224913f60c50885a674275,False,,,,binary,,,,,,
ProjRep/000/000/000/001/642,ProjRep/000/000/000/001,642,,25594,023ef69cbacd99fb8af777c258342d1852cd8d0d0a8ff8ce014d0d1132919c72,True,utf-16,1.0000,241,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit; Reporter.ReportEvent; Window(; Dialog(,,,If ; Then; Else; End If; For ; Do ; Select Case; End Select,Function ; End Function,
