relative_path,parent_directory,name,suffix,size_bytes,sha256,is_text,detected_encoding,printable_ratio,line_count,categories,uft_markers,object_reference_markers,parameter_markers,control_flow_markers,function_or_sub_markers,error;;;;;;;;;;;;;;;;;;;;;;
db_xmlmap.xml,.,db_xmlmap.xml,.xml,425215,c249c594ad8aed1a6921ce2632b5293f9b747178a186bbba8f2061deecccfea3,True,utf-8-sig,1.0000,7021,text; known_text_extension; contains_control_flow; xml_candidate,,,,For ; Next,,;;;;;;;;;;;;;;;;;;
dbid.xml,.,dbid.xml,.xml,1262,7596201abebb8e6b98abc9d61c2c71cd9d0ac92195ba2270576dff212d84d0bc,True,utf-8-sig,1.0000,26,text; known_text_extension; contains_control_flow; xml_candidate,,,,Then,,;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/041,ProjRep/000/000/000/001,041,,18853,cdbd58478e03c14aefcef37a0913d5421c1f682ef0d844ce2a3b2b521b755ca6,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/042,ProjRep/000/000/000/001,042,,18836,308ced19e4f6c661cba25d53b08ab4213b158d03f87c9a6382836dcd34460da0,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/043,ProjRep/000/000/000/001,043,,18680,42dc447a721e7edea91afef47f96a9ac782f13c14757fdb0955682d145c99994,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/044,ProjRep/000/000/000/001,044,,18868,16d97bfe62954de06e2bd0cbdc8ba796f76e945a1f96ac46e295c76d5251d0e1,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/045,ProjRep/000/000/000/001,045,,18617,44801d695e0e9b6f93e1af8fe08944a9264acd8cae4ad46589f112ba8cdea7e2,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/046,ProjRep/000/000/000/001,046,,18768,1a343b0d1a8371162a83b0e18179a90eeda81b52b4e766c43e507da160862195,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/047,ProjRep/000/000/000/001,047,,20563,06fe0879c56613334b439855329242395cce50b971eb201ee1863ac0176c9982,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/048,ProjRep/000/000/000/001,048,,18903,2fd0bd3ce7dd7397fcd08fc567bb4aa8411c61537f85ed66cd872dd1629cb8b8,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/049,ProjRep/000/000/000/001,049,,19106,87ac7bdbc21cde17e7adb4f34413e0064688d5f151c9f8346366c65e9cfec0c2,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/050,ProjRep/000/000/000/001,050,,19268,3ae6ce30e2382a40813523a98d6e3143cf0ff7f69c44987c6b304a9cb8a33b65,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/051,ProjRep/000/000/000/001,051,,18653,0f836a60d23b13d6380d1c4ad4dc28e2cb6efceba7d9a1c328a1a089e006d50f,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
